,makanan,kalori,protein,lemak,karbohidrat,tag_makanan
0,Abon haruwan,513,23.7,37.0,21.3,non-vegan abon haruwan olahan
1,Abon ikan,435,27.2,20.2,36.1,non-vegan abon ikan olahan
2,"Alpukat, segar",85,0.9,6.5,7.7,vegan buah
3,Amparan tatak,191,1.3,5.5,34.0,vegan kue olahan
4,Ampas kacang hijau,96,3.7,0.6,19.1,vegan ampas kacang olahan
5,Ampas tahu kukus,75,4.1,2.1,10.7,vegan ampas tahu olahan
6,"Ampas tahu, kering",414,26.6,18.3,41.3,vegan ampas tahu olahan kukus
7,"Anggur hutan, segar",30,0.5,0.2,6.8,vegan buah
8,"Anyang, sayur",126,3.4,7.9,10.3,vegan olahan
9,"Apang kukus, kue",202,3.0,0.3,46.7,vegan kue olahan
10,"Apel malang, segar",57,0.5,0.4,12.8,vegan buah
11,"Apel, segar",58,0.3,0.4,14.9,vegan buah
12,"Apem, kue",148,2.0,0.5,33.9,vegan kue olahan
13,"Arbai, segar",37,0.8,0.5,8.3,vegan olahan
14,"Ares, sayur",113,0.9,7.2,11.2,vegan olahan
15,Arwan sirsir,277,2.4,25.0,10.7,vegan olahan
16,"Asinan Bogor, sayuran",98,3.9,2.6,14.8,vegan asinan buah sayur olahan
17,"Ayam goreng church texas, dada",338,35.2,20.6,0.4,non-vegan mentah ayam daging olahan
18,"Ayam goreng church texas, sayap",295,34.0,16.0,1.5,non-vegan mentah ayam daging olahan
19,"Ayam goreng church,texas paha",287,31.0,15.7,1.7,non-vegan goreng ayam daging olahan
20,"Ayam goreng kalasan, paha",275,37.4,12.2,1.3,non-vegan goreng ayam daging olahan
21,"Ayam goreng kentucky, dada",298,34.2,16.8,0.1,non-vegan goreng ayam daging olahan
22,"Ayam goreng Kentucky, paha",286,32.1,16.1,1.1,non-vegan goreng ayam daging olahan
23,"Ayam goreng Kentucky,sayap",297,35.9,15.2,1.6,non-vegan goreng ayam daging olahan
24,Ayam goreng mbok berek dada,295,39.2,13.6,1.0,non-vegan goreng ayam daging olahan
25,"Ayam goreng pasundan, dada",246,37.9,9.0,0.7,non-vegan goreng ayam daging olahan
26,"Ayam goreng pasundan, paha",245,33.1,11.4,0.3,non-vegan goreng ayam daging olahan
27,"Ayam goreng pioneer, dada",295,37.4,14.7,0.6,non-vegan goreng ayam daging olahan
28,"Ayam goreng sukabumi, dada",244,36.7,9.2,1.0,non-vegan goreng ayam daging olahan
29,"Ayam goreng sukabumi, paha",283,35.7,14.3,0.5,non-vegan goreng ayam daging olahan
30,"Ayam taliwang, masakan",264,18.2,20.1,2.7,non-vegan goreng ayam daging olahan
31,"Ayam, ampela, goreng",270,32.3,11.2,9.9,non-vegan goreng ayam daging olahan
32,"Ayam, usus, goreng",473,45.2,26.3,13.9,non-vegan goreng ayam daging olahan
33,"Babi hutan masak rica, masakan",491,24.6,16.3,0.2,non-vegan olahan
34,Bagea kelapa asin,450,3.2,13.9,78.1,vegan kue olahan
35,Bagea kelapa manis,452,1.3,13.8,80.6,vegan kue olahan
36,Bagea kenari asin,529,3.2,29.1,63.6,vegan kue olahan
